text,term_true,cat_true,pol_true,analysis,term,cat,pol,seg
yum !,['FOOD'],['QUALITY'],['2'],"[{'category': 'Quality', 'aspect': 'Food', 'segment': 'yum !', 'sentiment': 'positive', 'review_id': 0}]",['Food'],['Quality'],[2],['yum !']
serves really good sushi .,['FOOD'],['QUALITY'],['2'],"[{'category': 'Quality', 'aspect': 'Food', 'segment': 'serves really good sushi', 'sentiment': 'positive', 'review_id': 1}]",['Food'],['Quality'],[2],['serves really good sushi']
not the biggest portions but adequate .,"['FOOD', 'FOOD']","['STYLE_OPTIONS', 'STYLE_OPTIONS']","['1', '1']","[{'category': 'Quantity', 'aspect': 'Food', 'segment': 'not the biggest portions', 'sentiment': 'negative', 'review_id': 2}, {'category': 'Quantity', 'aspect': 'Food', 'segment': 'but adequate', 'sentiment': 'positive', 'review_id': 2}]","['Food', 'Food']","['Quantity', 'Quantity']","[0, 2]","['not the biggest portions', 'but adequate']"
green tea creme brulee is a must !,['FOOD'],['QUALITY'],['2'],"[{'category': 'Quality', 'aspect': 'Food', 'segment': 'green tea creme brulee is a must !', 'sentiment': 'positive', 'review_id': 3}]",['Food'],['Quality'],[2],['green tea creme brulee is a must !']
it has great sushi and even better service .,"['FOOD', 'SERVICE']","['QUALITY', 'GENERAL']","['2', '2']","[{'category': 'Quality', 'aspect': 'Food', 'segment': 'it has great sushi', 'sentiment': 'positive', 'review_id': 4}, {'category': 'General', 'aspect': 'Service', 'segment': 'even better service', 'sentiment': 'positive', 'review_id': 4}]","['Food', 'Service']","['Quality', 'General']","[2, 2]","['it has great sushi', 'even better service']"
the entire staff was extremely accomodating and tended to my every need .,['SERVICE'],['GENERAL'],['2'],"[{'category': 'General', 'aspect': 'Service', 'segment': 'the entire staff was extremely accomodating', 'sentiment': 'positive', 'review_id': 5}, {'category': 'General', 'aspect': 'Service', 'segment': 'tended to my every need', 'sentiment': 'positive', 'review_id': 5}]","['Service', 'Service']","['General', 'General']","[2, 2]","['the entire staff was extremely accomodating', 'tended to my every need']"
i ' ve been to this restaurant over a dozen times with no complaints to date .,['RESTAURANT'],['GENERAL'],['2'],"[{'category': 'General', 'aspect': 'Restaurant', 'segment': ""i ' ve been to this restaurant over a dozen times with no complaints to date"", 'sentiment': 'positive', 'review_id': 6}]",['Restaurant'],['General'],[2],"[""i ' ve been to this restaurant over a dozen times with no complaints to date""]"
the owner is belligerent to guests that have a complaint .,['SERVICE'],['GENERAL'],['0'],"[{'category': 'General', 'aspect': 'Service', 'segment': 'the owner is belligerent to guests that have a complaint', 'sentiment': 'negative', 'review_id': 7}]",['Service'],['General'],[0],['the owner is belligerent to guests that have a complaint']
good food !,['FOOD'],['QUALITY'],['2'],"[{'category': 'Quality', 'aspect': 'Food', 'segment': 'good food !', 'sentiment': 'positive', 'review_id': 8}]",['Food'],['Quality'],[2],['good food !']
this is a great place to get a delicious meal .,"['FOOD', 'RESTAURANT']","['QUALITY', 'GENERAL']","['2', '2']","[{'category': 'Quality', 'aspect': 'Food', 'segment': 'this is a great place to get a delicious meal', 'sentiment': 'positive', 'review_id': 9}]",['Food'],['Quality'],[2],['this is a great place to get a delicious meal']
the staff is pretty friendly .,['SERVICE'],['GENERAL'],['2'],"[{'category': 'General', 'aspect': 'Service', 'segment': 'the staff is pretty friendly', 'sentiment': 'positive', 'review_id': 10}]",['Service'],['General'],[2],['the staff is pretty friendly']
the onion rings are great !,['FOOD'],['QUALITY'],['2'],"[{'category': 'Quality', 'aspect': 'Food', 'segment': 'the onion rings are great', 'sentiment': 'positive', 'review_id': 11}]",['Food'],['Quality'],[2],['the onion rings are great']
"the lemon chicken tasted like sticky sweet donuts and the honey walnut prawns , the few they actually give you . . . . . were not good .","['FOOD', 'FOOD', 'FOOD']","['QUALITY', 'QUALITY', 'STYLE_OPTIONS']","['0', '0', '0']","[{'category': 'Quality', 'aspect': 'Food', 'segment': 'the lemon chicken tasted like sticky sweet donuts', 'sentiment': 'negative', 'review_id': 12}, {'category': 'Quantity', 'aspect': 'Food', 'segment': 'the honey walnut prawns , the few they actually give you . . . . .', 'sentiment': 'negative', 'review_id': 12}]","['Food', 'Food']","['Quality', 'Quantity']","[0, 0]","['the lemon chicken tasted like sticky sweet donuts', 'the honey walnut prawns , the few they actually give you . . . . .']"
"nice ambience , but highly overrated place .","['AMBIENCE', 'RESTAURANT']","['GENERAL', 'GENERAL']","['2', '0']","[{'category': 'General', 'aspect': 'Ambience', 'segment': 'nice ambience', 'sentiment': 'positive', 'review_id': 13}, {'category': 'General', 'aspect': 'Restaurant', 'segment': 'highly overrated place', 'sentiment': 'negative', 'review_id': 13}]","['Ambience', 'Restaurant']","['General', 'General']","[2, 0]","['nice ambience', 'highly overrated place']"
worst service i ever had,['SERVICE'],['GENERAL'],['2'],"[{'category': 'General', 'aspect': 'Service', 'segment': 'worst service i ever had', 'sentiment': 'negative', 'review_id': 14}]",['Service'],['General'],[0],['worst service i ever had']
everyone that sat in the back outside agreed that it was the worst service we had ever received .,['SERVICE'],['GENERAL'],['0'],"[{'category': 'General', 'aspect': 'Service', 'segment': 'the worst service we had ever received', 'sentiment': 'negative', 'review_id': 15}]",['Service'],['General'],[0],['the worst service we had ever received']
"our waiter was non - existent and after our food finally arrived over an hour after we ordered , we were not given any water or utensils .",['SERVICE'],['GENERAL'],['0'],"[{'category': 'General', 'aspect': 'Service', 'segment': 'our waiter was non - existent', 'sentiment': 'negative', 'review_id': 16}, {'category': 'General', 'aspect': 'Service', 'segment': 'after our food finally arrived over an hour after we ordered , we were not given any water or utensils', 'sentiment': 'negative', 'review_id': 16}]","['Service', 'Service']","['General', 'General']","[0, 0]","['our waiter was non - existent', 'after our food finally arrived over an hour after we ordered , we were not given any water or utensils']"
"i complained to the manager , but he was not even apologetic .",['SERVICE'],['GENERAL'],['0'],"[{'category': 'General', 'aspect': 'Service', 'segment': 'i complained to the manager', 'sentiment': 'negative', 'review_id': 17}, {'category': 'General', 'aspect': 'Service', 'segment': 'he was not even apologetic', 'sentiment': 'negative', 'review_id': 17}]","['Service', 'Service']","['General', 'General']","[0, 0]","['i complained to the manager', 'he was not even apologetic']"
fabulous italian food !,['FOOD'],['QUALITY'],['2'],"[{'category': 'Quality', 'aspect': 'Food', 'segment': 'fabulous italian food', 'sentiment': 'positive', 'review_id': 18}]",['Food'],['Quality'],[2],['fabulous italian food']
