text,term_true,cat_true,pol_true,analysis
"the unit cost $ 275 to start with , so it is not worth repairing .",['LAPTOP'],['PRICE'],['0'],"[{'category': 'Price', 'aspect': 'Laptop', 'segment': 'the unit cost $ 275 to start with', 'sentiment': 'negative'}, {'category': 'Price', 'aspect': 'Laptop', 'segment': 'it is not worth repairing', 'sentiment': 'negative'}]"
"going from acer 15 to acer 11 was difficult , 11 inches seems too small for me .","['LAPTOP', 'LAPTOP']","['DESIGN_FEATURES', 'DESIGN_FEATURES']","['0', '0']","[{'category': 'Design_Features', 'aspect': 'Size', 'segment': '11 inches seems too small for me', 'sentiment': 'negative'}]"
"also it ' s not a true ssd drive in there but emmc , which makes a difference .",['HARD_DISC'],['OPERATION_PERFORMANCE'],['0'],"[{'category': 'Operation_Performance', 'aspect': 'Hard_Disc', 'segment': 'not a true ssd drive in there but emmc', 'sentiment': 'negative'}, {'category': 'Operation_Performance', 'aspect': 'Hard_Disc', 'segment': 'which makes a difference', 'sentiment': 'negative'}]"
the computer has difficulty switching between tablet and computer .,['LAPTOP'],['USABILITY'],['0'],"[{'category': 'Operation_Performance', 'aspect': 'Tablet_Mode', 'segment': 'the computer has difficulty switching between tablet and computer', 'sentiment': 'negative'}]"
2 / 28 / 18 - a couple days ago i updated the chrome os .,['OS'],['GENERAL'],['1'],"[{'category': 'Operation_Performance', 'aspect': 'OS', 'segment': 'i updated the chrome os', 'sentiment': 'positive'}]"
it ' s just that chrome doesn ' t work the same with a chromebook as it does with windows .,['OS'],['OPERATION_PERFORMANCE'],['0'],"[{'category': 'Usability', 'aspect': 'OS', 'segment': ""chrome doesn ' t work the same with a chromebook as it does with windows"", 'sentiment': 'negative'}]"
hopefully in 10 years they ' ll have this figured out and it won ' t suck so badly .,"['LAPTOP', 'LAPTOP']","['GENERAL', 'GENERAL']","['0', '0']","[{'category': 'Operation_Performance', 'aspect': 'OS', 'segment': ""hopefully in 10 years they ' ll have this figured out"", 'sentiment': 'neutral'}, {'category': 'Operation_Performance', 'aspect': 'OS', 'segment': ""it won ' t suck so badly"", 'sentiment': 'negative'}]"
bought this last year on july .,['LAPTOP'],['GENERAL'],['1'],"[{'category': 'General', 'aspect': 'Laptop', 'segment': 'bought this last year on july', 'sentiment': 'positive'}]"
i rarely use the keyboard .,['KEYBOARD'],['GENERAL'],['0'],"[{'category': 'Usability', 'aspect': 'Keyboard', 'segment': 'i rarely use the keyboard', 'sentiment': 'negative'}]"
great price for a touchscreen chromebook,['LAPTOP'],['PRICE'],['2'],"[{'category': 'Price', 'aspect': 'Laptop', 'segment': 'great price for a touchscreen chromebook', 'sentiment': 'positive'}]"
"it is glitchy , and barely usable .","['HARDWARE', 'HARDWARE']","['OPERATION_PERFORMANCE', 'OPERATION_PERFORMANCE']","['0', '0']","[{'category': 'Operation_Performance', 'aspect': 'Software', 'segment': 'it is glitchy', 'sentiment': 'negative'}, {'category': 'Operation_Performance', 'aspect': 'Software', 'segment': 'barely usable', 'sentiment': 'negative'}]"
"i ordered one , the touch pad failed to work consistently .",['HARDWARE'],['OPERATION_PERFORMANCE'],['0'],"[{'category': 'Operation_Performance', 'aspect': 'Touchpad', 'segment': 'the touch pad failed to work consistently', 'sentiment': 'negative'}]"
