category,aspect,segment,sentiment,review_id
Food,Sushi,serves really good sushi,positive,1
Food_Quality,Portion size,not the biggest portions,negative,2
Food_Quality,Portion size,but adequate,positive,2
Food,Green Tea Creme Brulee,green tea creme brulee is a must,positive,3
Food,Sushi,it has great sushi,positive,4
Service,Service,even better service,positive,4
Service,Staff,the entire staff was extremely accomodating,positive,5
Service,Staff,and tended to my every need,positive,5
Food_Quality,Restaurant,i ' ve been to this restaurant over a dozen times with no complaints to date . ,positive,6
Owner,Belligerent,the owner is belligerent to guests that have a complaint,negative,7
Food,Food,good food,positive,8
Food_Quality,Food,a great place to get a delicious meal,positive,9
Staff,Friendliness,the staff is pretty friendly,positive,10
Food,Onion Rings,the onion rings are great,positive,11
Food_Quality,Chicken,the lemon chicken tasted like sticky sweet donuts,negative,12
Food_Quantity,Prawns,"and the honey walnut prawns, the few they actually give you",negative,12
Atmosphere,Ambience,nice ambience,positive,13
General,Place,but highly overrated place,negative,13
Service,Service,worst service i ever had,negative,14
Service,Service,everyone that sat in the back outside agreed that it was the worst service we had ever received,negative,15
Service,Waiter,our waiter was non-existent,negative,16
Food,Delivery,after our food finally arrived over an hour after we ordered,negative,16
Service,Water,we were not given any water,negative,16
Service,Utensils,we were not given any utensils,negative,16
Service,Manager,i complained to the manager,negative,17
Service,Manager,but he was not even apologetic,negative,17
Food,Italian,fabulous italian food,positive,18
Recommendation,Mioposto,I highly recommend Mioposto.,positive,19
Food_Quality,Italian food,a wonderful italian restaurant,positive,20
Location,Neighborhood,in my neighborhood,positive,20
Food_and_Drink,Wine,the wine list is wonderful,positive,21
Food_and_Drink,Food,the food reminds me of my recent trip to Italy,positive,21
Food_Quality,Restaurant,i love this restaurant,positive,22
Food_Quality,Meal,the amazing meal,positive,23
Service,Service,service,positive,23
Atmosphere,Ambiance,ambiance,positive,23
Wine_List,Wine List,the wine list is incredible and extensive and diverse,positive,24
Food,Food,the food is all incredible,positive,24
Staff,Staff,"the staff was all very nice, good at their jobs and cultured",positive,24
General,Place,i have not a bad thing to say about this place,positive,25
Food,Food,the food was great,positive,26
Price,Food,"it ' s very reasonably priced , esp for the quality of the food .",positive,27
Food,Kafta,I had the kafta plate,positive,28
Food,Quality,high quality food,positive,29
Service,Service,good service,positive,29
Atmosphere,Place,this is the place to relax,positive,30
Food,Quality,enjoy the finest quality food,positive,30
Food,Industry,the industry can offer,neutral,30
Food,Real Food,its real food,positive,31
Food,People,for people,positive,31
Food,Best,who love the best,positive,31
Atmosphere,atmosphere,i liked the atmosphere very much,positive,32
Food,food,the food was not worth the price,negative,32
Food,Sushi,the food here is just okay,negative,33
Food,Sushi,there is not much else to it,negative,33
Quality,Rice,rice is too dry,negative,34
Quality,Tuna,tuna was n't so fresh either,negative,34
Food_Quality,Fish,quality and variety of the fish to be excellent,positive,35
Value,Value,value,negative,36
Service,Service,service,negative,36
Food_Quality,Fish,the fish is unquestionably fresh,positive,37
Food_Quality,Rolls,rolls tend to be inexplicably bland,negative,37
Service,Service,the service ranges from mediocre to offensive,negative,38
Service,Waiter,our waiter was extremely dismissive,negative,39
Service,Staff,while no less than three staff members waited hand - and - foot on a pair of japanese girls seated nearby,positive,39
Food,Sushi,freshest sushi,positive,40
Restaurant,Restaurant,i love this restaurant,positive,40
Food,Miso soup,miso soup,positive,41
Food,Rolls,complex rolls,positive,41
Food,Sashimi,the sashimi was the freshest and most tender i have ever tasted,positive,42
Food_Quality,Apps,their apps are all delicious,positive,43
Price,Expensive,this place is really expensive,negative,44
Quantity,Portion,portions are on the small side,negative,44
Design_Features,Space,but the space is small and lovely,positive,45
Service,Service,and the service is helpful,positive,45
Food,Food,the food was not great,negative,46
Service,Waiter,the waiters were rude,negative,46
Service,Service,great service,positive,47
Service,Service,my service was stellar,positive,48
Service,bus boy,the bus boy even spotted that my table was shaking and stabilized it for me,positive,49
Food,Taste,"food was fine, with a some little - tastier - than - normal salsa",positive,50
Food_Quality,Food,the food was great,positive,51
Food_Quality,Margaritas,the margaritas too,positive,51
Service,Waitress,the waitress was too busy being nice to her other larger party than to take better care of my friend and me,negative,51
Food,Pizza,mama mia – i live in the neighborhood and feel lucky to live by such a great pizza place,positive,52
Food_Quality,Pizza,you really have to warm up the pizza before it ' s edible,negative,53
Food,Pizza,"but once done, it's not too much dough, not too much cheese, not too much sauce.",positive,54
Food,Sushi,best sushi in town,positive,55
Food,Calamari,the best calamari in seattle,positive,56
Service,Customer Service,they will even bring you a blanket if you get cold,positive,57
Atmosphere,Weather,in the seattle evening weather,neutral,57
Atmosphere,Place,a perfect place,positive,58
General,Guests,to take out of town guests,neutral,58
Timing,Year,any time of the year,neutral,58
Entertainment_Features,Fun,endless fun,positive,59
Entertainment_Features,Music,awesome music,positive,59
Customer_Service,Staff,great staff,positive,59
Atmosphere,Bar,by far the best bar in the east village,positive,60
Food_and_Drink,Drafts,great draft selection,positive,61
