text,term_true,cat_true,pol_true,analysis
yum !,['FOOD'],['QUALITY'],['2'],[]
serves really good sushi .,['FOOD'],['QUALITY'],['2'],"[{'category': 'Quality', 'aspect': 'Sushi', 'segment': 'serves really good sushi', 'sentiment': 'positive'}]"
not the biggest portions but adequate .,"['FOOD', 'FOOD']","['STYLE_OPTIONS', 'STYLE_OPTIONS']","['1', '1']","[{'category': 'Style_Options', 'aspect': 'Portion size', 'segment': 'not the biggest portions', 'sentiment': 'negative'}, {'category': 'Quality', 'aspect': 'Portion size', 'segment': 'but adequate', 'sentiment': 'positive'}]"
green tea creme brulee is a must !,['FOOD'],['QUALITY'],['2'],"[{'category': 'Quality', 'aspect': 'Green Tea Creme Brulee', 'segment': 'green tea creme brulee is a must !', 'sentiment': 'positive'}]"
it has great sushi and even better service .,"['FOOD', 'SERVICE']","['QUALITY', 'GENERAL']","['2', '2']",[]
the entire staff was extremely accomodating and tended to my every need .,['SERVICE'],['GENERAL'],['2'],"[{'category': 'Service', 'aspect': 'Staff', 'segment': 'the entire staff was extremely accomodating and tended to my every need', 'sentiment': 'positive'}]"
i ' ve been to this restaurant over a dozen times with no complaints to date .,['RESTAURANT'],['GENERAL'],['2'],"[{'category': 'Frequency', 'aspect': 'Restaurant', 'segment': ""I've been to this restaurant over a dozen times"", 'sentiment': 'positive'}, {'category': 'General', 'aspect': 'Restaurant', 'segment': 'with no complaints to date', 'sentiment': 'positive'}]"
the owner is belligerent to guests that have a complaint .,['SERVICE'],['GENERAL'],['0'],"[{'category': 'Owner', 'aspect': 'Owner', 'segment': 'the owner is belligerent to guests that have a complaint', 'sentiment': 'negative'}]"
good food !,['FOOD'],['QUALITY'],['2'],"[{'category': 'Quality', 'aspect': 'Food', 'segment': 'good food', 'sentiment': 'positive'}]"
this is a great place to get a delicious meal .,"['FOOD', 'RESTAURANT']","['QUALITY', 'GENERAL']","['2', '2']","[{'category': 'General', 'aspect': 'Place', 'segment': 'this is a great place to get a delicious meal', 'sentiment': 'positive'}]"
the staff is pretty friendly .,['SERVICE'],['GENERAL'],['2'],"[{'category': 'Service', 'aspect': 'Staff', 'segment': 'the staff is pretty friendly', 'sentiment': 'positive'}]"
