index,category,aspect,segment,sentiment,review_id
336,Quality,ChromeOS,ChromeOS + Samsung = bad baby,negative,245
86,Usefulness,Work Machine,this looks as if it meets my needs as a good ` ` work machine . ` `,positive,69
111,Style_Options,Fancy,it's not fancy,negative,88
951,Performance,Speed,it's faster,positive,690
916,Functionality,Games,I've loaded a number of games,positive,665
145,Quality,Product,works great right out of the box,positive,111
738,Style_Options,Ease_of_use,It was very easy to use,positive,530
954,Storage,Drive Space,it has four times the drive space,positive,690
950,Quality,Chromebook,this is a spectacular chromebook,positive,689
598,General,Companies,this is the problem with companies today,negative,431
