text,term_true,cat_true,pol_true,analysis,term,cat,pol,seg
"the unit cost $ 275 to start with , so it is not worth repairing .",['LAPTOP'],['PRICE'],['0'],"[{'category': 'Price', 'aspect': 'Unit Cost', 'segment': 'the unit cost $ 275 to start with', 'sentiment': 'negative', 'review_id': 0}, {'category': 'Recommendation', 'aspect': 'Repairing', 'segment': 'so it is not worth repairing', 'sentiment': 'negative', 'review_id': 0}]","['Unit Cost', 'Repairing']","['Price', 'Recommendation']","[0, 0]","['the unit cost $ 275 to start with', 'so it is not worth repairing']"
"going from acer 15 to acer 11 was difficult , 11 inches seems too small for me .","['LAPTOP', 'LAPTOP']","['DESIGN_FEATURES', 'DESIGN_FEATURES']","['0', '0']","[{'category': 'Design_Features', 'aspect': 'Screen Size', 'segment': '11 inches seems too small for me', 'sentiment': 'negative', 'review_id': 1}]",['Screen Size'],['Design_Features'],[0],['11 inches seems too small for me']
"also it ' s not a true ssd drive in there but emmc , which makes a difference .",['HARD_DISC'],['OPERATION_PERFORMANCE'],['0'],[],[],[],[],[]
the computer has difficulty switching between tablet and computer .,['LAPTOP'],['USABILITY'],['0'],"[{'category': 'Operation_Performance', 'aspect': 'Switching', 'segment': 'the computer has difficulty switching between tablet and computer', 'sentiment': 'negative', 'review_id': 3}]",['Switching'],['Operation_Performance'],[0],['the computer has difficulty switching between tablet and computer']
2 / 28 / 18 - a couple days ago i updated the chrome os .,['OS'],['GENERAL'],['1'],"[{'category': 'Operation_Performance', 'aspect': 'Chrome OS', 'segment': 'since then, the computer has been running really slow', 'sentiment': 'negative', 'review_id': 4}]",['Chrome OS'],['Operation_Performance'],[0],"['since then, the computer has been running really slow']"
it ' s just that chrome doesn ' t work the same with a chromebook as it does with windows .,['OS'],['OPERATION_PERFORMANCE'],['0'],"[{'category': 'Operation_Performance', 'aspect': 'Chrome', 'segment': ""Chrome doesn't work the same with a Chromebook as it does with Windows"", 'sentiment': 'negative', 'review_id': 5}]",['Chrome'],['Operation_Performance'],[0],"[""Chrome doesn't work the same with a Chromebook as it does with Windows""]"
hopefully in 10 years they ' ll have this figured out and it won ' t suck so badly .,"['LAPTOP', 'LAPTOP']","['GENERAL', 'GENERAL']","['0', '0']","[{'category': 'Operation_Performance', 'aspect': 'CPU', 'segment': ""hopefully in 10 years they ' ll have this figured out"", 'sentiment': 'negative', 'review_id': 6}, {'category': 'Operation_Performance', 'aspect': 'CPU', 'segment': ""and it won ' t suck so badly"", 'sentiment': 'negative', 'review_id': 6}]","['CPU', 'CPU']","['Operation_Performance', 'Operation_Performance']","[0, 0]","[""hopefully in 10 years they ' ll have this figured out"", ""and it won ' t suck so badly""]"
bought this last year on july .,['LAPTOP'],['GENERAL'],['1'],"[{'category': 'Operation_Performance', 'aspect': 'Date', 'segment': 'bought this last year on july', 'sentiment': 'neutral', 'review_id': 7}]",['Date'],['Operation_Performance'],[1],['bought this last year on july']
i rarely use the keyboard .,['KEYBOARD'],['GENERAL'],['0'],[],[],[],[],[]
great price for a touchscreen chromebook,['LAPTOP'],['PRICE'],['2'],"[{'category': 'Price', 'aspect': 'Chromebook', 'segment': 'great price for a touchscreen chromebook', 'sentiment': 'positive', 'review_id': 9}]",['Chromebook'],['Price'],[2],['great price for a touchscreen chromebook']
